dataset,network,batch_size,optimizer,learning_rate,run,target_metric,target_epoch
cifar100,shufflenetv2,16,adadelta,1e-1,5,0.95,nan
cifar100,shufflenetv2,2048,adadelta,1e-1,1,0.05,3
cifar100,shufflenetv2,2048,adadelta,1e-1,1,0.1,5
cifar100,shufflenetv2,2048,adadelta,1e-1,1,0.15,6
cifar100,shufflenetv2,2048,adadelta,1e-1,1,0.2,9
cifar100,shufflenetv2,2048,adadelta,1e-1,1,0.25,13
cifar100,shufflenetv2,2048,adadelta,1e-1,1,0.3,17
cifar100,shufflenetv2,2048,adadelta,1e-1,1,0.35,19
cifar100,shufflenetv2,2048,adadelta,1e-1,1,0.4,21
cifar100,shufflenetv2,2048,adadelta,1e-1,1,0.45,31
cifar100,shufflenetv2,2048,adadelta,1e-1,1,0.5,41
cifar100,shufflenetv2,2048,adadelta,1e-1,1,0.55,73
cifar100,shufflenetv2,2048,adadelta,1e-1,1,0.6,191
cifar100,shufflenetv2,2048,adadelta,1e-1,1,0.65,nan
cifar100,shufflenetv2,2048,adadelta,1e-1,1,0.7,nan
cifar100,shufflenetv2,2048,adadelta,1e-1,1,0.75,nan
cifar100,shufflenetv2,2048,adadelta,1e-1,1,0.8,nan
cifar100,shufflenetv2,2048,adadelta,1e-1,1,0.85,nan
cifar100,shufflenetv2,2048,adadelta,1e-1,1,0.9,nan
cifar100,shufflenetv2,2048,adadelta,1e-1,1,0.95,nan
cifar100,shufflenetv2,2048,adadelta,1e-1,2,0.05,2
cifar100,shufflenetv2,2048,adadelta,1e-1,2,0.1,4
cifar100,shufflenetv2,2048,adadelta,1e-1,2,0.15,7
cifar100,shufflenetv2,2048,adadelta,1e-1,2,0.2,11
cifar100,shufflenetv2,2048,adadelta,1e-1,2,0.25,12
cifar100,shufflenetv2,2048,adadelta,1e-1,2,0.3,16
cifar100,shufflenetv2,2048,adadelta,1e-1,2,0.35,20
