dataset,network,batch_size,optimizer,power_limit,time_per_epoch,average_power
librispeech,deepspeech2,56,adamw,200,5727.599999999999,157.128677056952
librispeech,deepspeech2,56,adamw,225,5454.870000000001,179.1841443549774
librispeech,deepspeech2,56,adamw,250,5375.030000000001,192.63655616345392
librispeech,deepspeech2,64,adamw,100,8184.2300000000005,95.23698878145323
librispeech,deepspeech2,64,adamw,125,6888.04,109.9704803257527
librispeech,deepspeech2,64,adamw,150,6408.6,125.90968883096691
librispeech,deepspeech2,64,adamw,175,6112.49,139.77466494374147
librispeech,deepspeech2,64,adamw,200,5937.78,156.13042811724628
librispeech,deepspeech2,64,adamw,225,5719.54,177.5347855720788
librispeech,deepspeech2,64,adamw,250,5653.959999999999,191.1330137672826
librispeech,deepspeech2,72,adamw,100,8203.19,92.99407647642877
